plad_id,leader,country,startyear,endyear,adm1,adm0,foreign_leader,geo_precision,latitude,longitude
ARM_2018_1,Armen Sarkissian,Armenia,2018,2022,Erevan,Armenia,0,1,40.18111038208008,44.51361083984375
ARM_2022_1,Alen Roberti Simonyan ,Armenia,2022,2022,Erevan,Armenia,0,1,40.18000030517578,44.5099983215332
ARM_2022_2,Vahagn Khachaturyan,Armenia,2022,2023,Syunik,Armenia,0,1,39.52101135253906,46.03580856323242
AUL_1983_1,Hawke,Australia,1983,1991,South Australia,Australia,0,1,-36.30767822265625,140.77166748046875
AUL_1991_1,Keating,Australia,1991,1996,New South Wales,Australia,0,1,-33.86785125732422,151.2073211669922
AUL_1996_1,Howard,Australia,1996,2007,New South Wales,Australia,0,1,-33.86785125732422,151.2073211669922
AUL_2007_1,Rudd,Australia,2007,2010,Queensland,Australia,0,1,-26.626129150390625,152.95941162109375
AUL_2010_1,Gillard,Australia,2010,2013,Wales,United Kingdom,1,1,51.3997917175293,-3.283799886703491
AUL_2013_1,Rudd,Australia,2013,2013,Queensland,Australia,0,1,-26.626129150390625,152.95941162109375
AUL_2013_2,Abbott,Australia,2013,2015,England,United Kingdom,1,1,51.50852966308594,-0.12574000656604767
AUL_2015_1,Malcolm Turnbull,Australia,2015,2018,New South Wales,Australia,0,1,-33.86785125732422,151.2073211669922
AUL_2018_1,Scott Morrison,Australia,2018,2022,New South Wales,Australia,0,1,-33.86785125732422,151.2073211669922
AUL_2022_1,Anthony Norman Albanese,Australia,2022,2023,New South Wales,Australia,0,1,-33.880001068115234,151.22000122070312
